,cell_type_dc_sub_final
1311,Breast cancer subtype 4
1312,Breast myoepithelial cells
1313,Breast cancer subtype 4
1314,Breast cancer subtype 4
1315,Breast cancer subtype 4
1316,Breast cancer subtype 4
1317,Breast cancer subtype 5
1318,Breast cancer subtype 4
1319,Breast cancer subtype 4
1320,Breast myoepithelial cells
1321,Breast cancer subtype 2
1322,Breast cancer subtype 4
1323,Breast cancer subtype 4
1324,Breast cancer subtype 4
1325,Breast cancer subtype 4
1326,Macrophages
1327,T cells
1328,T cells
1329,T cells
1330,Macrophages
1331,Macrophages
1332,Macrophages
1333,T cells
1334,T cells
1335,B cells
1336,T cells
1337,T cells
1338,Stromal cells
1339,T cells
1340,Breast cancer subtype 3
1341,Breast cancer subtype 3
1342,T cells
1343,Breast cancer subtype 1
1344,Breast cancer subtype 1
1345,Breast cancer subtype 1
1346,Breast cancer subtype 1
1347,Breast cancer subtype 1
1348,Breast cancer subtype 1
1349,Breast cancer subtype 1
1350,Breast cancer subtype 1
1351,Breast cancer subtype 1
1352,Breast cancer subtype 1
1353,Breast cancer subtype 1
1354,Breast cancer subtype 1
1355,Breast cancer subtype 1
1356,Breast cancer subtype 1
1357,Breast cancer subtype 1
1358,Breast cancer subtype 4
1359,Breast cancer subtype 4
1360,Breast cancer subtype 1
1361,Breast cancer subtype 1
1362,Breast cancer subtype 1
1363,Breast cancer subtype 1
1364,Breast cancer subtype 3
1365,Breast cancer subtype 1
1366,Breast cancer subtype 1
1367,Breast cancer subtype 1
1368,Breast cancer subtype 1
1369,Breast cancer subtype 1
1370,Breast cancer subtype 1
1371,Breast cancer subtype 1
1372,Breast cancer subtype 1
1373,Breast cancer subtype 1
1374,T cells
1375,Breast cancer subtype 1
1376,Breast cancer subtype 1
1377,Breast cancer subtype 1
1378,Breast cancer subtype 1
1379,Breast cancer subtype 1
1380,Breast cancer subtype 1
1381,Breast cancer subtype 1
1382,Breast cancer subtype 1
1383,Breast cancer subtype 1
1384,Breast cancer subtype 1
1385,Breast cancer subtype 1
1386,Breast cancer subtype 1
1387,Breast cancer subtype 1
1388,Breast cancer subtype 1
1389,Macrophages
1391,Breast cancer subtype 1
1392,Breast cancer subtype 1
1393,Macrophages
1394,Breast cancer subtype 1
1395,Breast cancer subtype 1
1396,Breast cancer subtype 1
1397,Breast cancer subtype 3
1398,Endothelial cells
1399,Breast cancer subtype 1
1400,Macrophages
1401,Macrophages
1402,Breast cancer subtype 3
1403,Smooth muscle cells
1404,Breast cancer subtype 1
1405,Breast cancer subtype 1
1406,Breast cancer subtype 1
1407,Breast cancer subtype 1
1408,Macrophages
1409,Macrophages
1410,Breast cancer subtype 1
1411,Breast cancer subtype 1
1412,Breast cancer subtype 3
1413,Breast cancer subtype 3
1414,Breast cancer subtype 1
1415,Breast cancer subtype 1
1416,Breast cancer subtype 1
1417,Breast cancer subtype 1
1418,Breast cancer subtype 1
1419,Breast cancer subtype 1
1420,Breast cancer subtype 3
1421,Breast cancer subtype 1
1422,Breast cancer subtype 1
1423,Breast cancer subtype 3
1424,Breast cancer subtype 3
1425,Breast cancer subtype 1
1426,Breast cancer subtype 1
1427,Breast cancer subtype 1
1428,Breast cancer subtype 1
1429,Breast cancer subtype 1
1430,Breast cancer subtype 1
1431,Breast cancer subtype 1
1432,Breast cancer subtype 1
1433,Breast myoepithelial cells
1434,Breast myoepithelial cells
1435,Breast myoepithelial cells
1436,Breast cancer subtype 4
1437,Breast cancer subtype 4
1438,Breast cancer subtype 5
1439,Stromal cells
1440,Stromal cells
1441,Macrophages
1442,Stromal cells
1443,Stromal cells
1444,Stromal cells
1445,Endothelial cells
1447,Macrophages
1448,Stromal cells
1449,Macrophages
1450,Endothelial cells
1451,Breast myoepithelial cells
1452,Endothelial cells
1453,Endothelial cells
1454,Breast cancer subtype 4
1456,Breast myoepithelial cells
1457,Breast cancer subtype 4
1458,Breast cancer subtype 4
1459,Breast myoepithelial cells
1460,Breast myoepithelial cells
1461,Breast cancer subtype 4
1462,Breast cancer subtype 4
1463,Breast cancer subtype 4
1464,Breast cancer subtype 4
1465,Breast cancer subtype 4
1466,Breast cancer subtype 4
1467,Breast cancer subtype 4
1468,Breast cancer subtype 4
1469,Breast cancer subtype 4
1470,Breast cancer subtype 4
1471,Breast cancer subtype 4
1472,Breast cancer subtype 2
1473,Breast cancer subtype 4
1474,Breast cancer subtype 4
1475,Breast cancer subtype 2
1476,Breast cancer subtype 4
1477,Breast cancer subtype 4
1478,Breast cancer subtype 4
1479,Breast cancer subtype 2
1480,Breast cancer subtype 4
1481,Breast cancer subtype 4
1482,Breast cancer subtype 4
1483,Breast cancer subtype 4
1484,Breast cancer subtype 4
1485,Breast cancer subtype 4
1486,Breast cancer subtype 4
1487,Breast cancer subtype 4
1488,Breast cancer subtype 4
1489,Breast cancer subtype 4
1490,Breast cancer subtype 4
1491,Breast cancer subtype 4
1492,Breast cancer subtype 4
1493,Breast cancer subtype 4
1494,Breast myoepithelial cells
1495,Breast cancer subtype 4
1496,Breast cancer subtype 4
1497,Breast cancer subtype 4
1498,Breast cancer subtype 4
1499,Breast cancer subtype 4
1500,Breast cancer subtype 4
1501,Breast cancer subtype 4
1502,Breast cancer subtype 4
1503,Breast cancer subtype 2
1504,Breast cancer subtype 4
1505,Breast cancer subtype 4
1506,Breast cancer subtype 4
1507,Breast cancer subtype 4
1508,Breast cancer subtype 4
1509,Breast cancer subtype 2
1510,Breast cancer subtype 4
1511,Breast cancer subtype 4
1512,Breast cancer subtype 4
1513,Breast cancer subtype 4
1514,Breast cancer subtype 4
1515,Breast cancer subtype 4
1516,Breast cancer subtype 2
1517,Breast cancer subtype 4
1518,Breast cancer subtype 4
1519,Breast cancer subtype 4
1522,Breast cancer subtype 4
1523,Breast cancer subtype 4
1524,Breast cancer subtype 4
1525,Breast cancer subtype 4
1526,Breast cancer subtype 4
1527,Breast cancer subtype 4
1528,Breast cancer subtype 2
1529,Breast cancer subtype 4
1530,Endothelial cells
1531,Endothelial cells
1532,Stromal cells
1533,Breast myoepithelial cells
1534,B cells
1536,Stromal cells
1537,T cells
1538,Stromal cells
1539,T cells
1540,Stromal cells
1541,Macrophages
1542,T cells
1543,Stromal cells
1544,Breast myoepithelial cells
1545,Breast myoepithelial cells
1546,Breast cancer subtype 4
1547,Breast cancer subtype 4
1548,Breast cancer subtype 4
1549,Breast cancer subtype 4
1550,Breast cancer subtype 4
1551,Breast cancer subtype 4
1552,Breast cancer subtype 4
1553,Breast cancer subtype 4
1554,Breast cancer subtype 4
1555,Breast cancer subtype 4
1556,Breast cancer subtype 4
1557,Breast cancer subtype 4
1558,Breast cancer subtype 5
1559,Breast cancer subtype 5
1560,Breast cancer subtype 4
1565,Breast cancer subtype 4
1566,Breast myoepithelial cells
1567,Breast cancer subtype 4
1568,Breast myoepithelial cells
1569,Breast cancer subtype 4
1570,Breast cancer subtype 4
1571,Breast cancer subtype 4
1572,Breast myoepithelial cells
1573,Breast cancer subtype 4
1574,Breast myoepithelial cells
1575,Breast cancer subtype 4
1576,Stromal cells
1577,Macrophages
1578,Breast cancer subtype 1
1579,Breast cancer subtype 4
1580,Breast cancer subtype 3
1581,Macrophages
1582,Endothelial cells
1583,Breast cancer subtype 1
1584,Breast cancer subtype 1
1585,Breast cancer subtype 1
1586,Breast cancer subtype 1
1587,Breast cancer subtype 1
1588,Breast cancer subtype 1
1589,Breast cancer subtype 1
1590,Breast cancer subtype 1
1591,Breast cancer subtype 1
1592,Breast cancer subtype 1
1593,Macrophages
1594,Smooth muscle cells
1595,Breast cancer subtype 4
1596,Breast cancer subtype 1
1597,Breast cancer subtype 4
1598,Breast cancer subtype 4
1599,Breast cancer subtype 1
1600,Macrophages
1601,Breast cancer subtype 4
1602,Breast cancer subtype 4
1603,T cells
1604,Breast cancer subtype 1
1605,Breast cancer subtype 5
1606,Breast cancer subtype 1
1607,Breast myoepithelial cells
1608,Macrophages
1609,Endothelial cells
1610,Breast cancer subtype 1
1611,Breast cancer subtype 1
1612,Breast cancer subtype 4
1613,Breast cancer subtype 1
1614,Macrophages
1615,Breast cancer subtype 1
1616,Breast cancer subtype 1
1617,Breast cancer subtype 1
1618,Endothelial cells
1619,Breast cancer subtype 1
1620,Breast cancer subtype 1
1621,Breast cancer subtype 5
1622,Breast cancer subtype 5
1623,Breast cancer subtype 5
1624,Breast cancer subtype 4
1626,Breast cancer subtype 1
1627,Macrophages
1628,Breast cancer subtype 1
1629,Breast cancer subtype 1
1630,Breast cancer subtype 4
1631,Macrophages
1633,Breast cancer subtype 5
1634,Macrophages
1635,Breast cancer subtype 1
1636,Breast myoepithelial cells
1637,Breast cancer subtype 4
1638,Breast cancer subtype 1
1639,Breast cancer subtype 4
1640,Breast cancer subtype 1
1641,Breast cancer subtype 1
1642,Breast cancer subtype 1
1643,Macrophages
1644,Breast cancer subtype 1
1645,Breast cancer subtype 4
1646,Breast myoepithelial cells
1647,Breast cancer subtype 5
1648,Breast cancer subtype 4
1649,Breast cancer subtype 2
1650,Endothelial cells
1651,Breast cancer subtype 1
1652,Breast cancer subtype 1
1653,Endothelial cells
1654,Breast cancer subtype 1
1655,Breast cancer subtype 1
1657,Breast cancer subtype 4
1658,Breast glandular cells
1659,Breast cancer subtype 4
1660,Breast cancer subtype 1
1661,Breast cancer subtype 4
1662,Breast cancer subtype 2
1663,Breast cancer subtype 4
1664,Breast cancer subtype 4
1665,Breast cancer subtype 1
1666,Breast cancer subtype 4
1668,Breast cancer subtype 1
1669,Macrophages
1670,Breast cancer subtype 1
1671,Breast myoepithelial cells
1672,Breast cancer subtype 5
1673,Breast cancer subtype 3
1674,Breast cancer subtype 1
1675,Breast cancer subtype 3
1676,Breast cancer subtype 1
1677,Breast cancer subtype 1
1678,Breast cancer subtype 1
1679,Breast cancer subtype 1
1680,Endothelial cells
1681,Breast cancer subtype 3
1682,Endothelial cells
1683,Stromal cells
1684,Breast cancer subtype 3
1685,Macrophages
1686,Breast cancer subtype 1
1687,Breast cancer subtype 1
1688,Macrophages
1689,Breast cancer subtype 1
1690,Breast cancer subtype 1
1691,Macrophages
1692,Breast cancer subtype 1
1693,Breast cancer subtype 1
1694,Breast cancer subtype 1
1695,Breast cancer subtype 1
1696,Breast cancer subtype 1
1697,Breast cancer subtype 1
1698,Breast cancer subtype 1
1699,Breast cancer subtype 1
1700,Breast cancer subtype 1
1701,Breast cancer subtype 1
1702,Breast cancer subtype 1
1703,Breast cancer subtype 1
1704,Breast cancer subtype 1
1705,Breast cancer subtype 1
1706,Breast cancer subtype 1
1707,Breast cancer subtype 1
1708,Breast cancer subtype 1
1709,Breast cancer subtype 1
1710,Breast cancer subtype 1
1711,Breast cancer subtype 1
1712,Breast cancer subtype 1
1713,Breast cancer subtype 1
1714,Breast cancer subtype 1
1715,Breast cancer subtype 1
1716,Breast cancer subtype 1
1717,Breast cancer subtype 1
1719,Breast cancer subtype 1
1720,Stromal cells
1721,Breast cancer subtype 3
1722,Stromal cells
1723,Macrophages
1724,B cells
1725,Macrophages
1726,Breast cancer subtype 1
1727,Breast cancer subtype 1
1728,Breast cancer subtype 3
1729,Breast cancer subtype 1
1730,Breast cancer subtype 1
1731,T cells
1732,Breast cancer subtype 3
1733,Breast cancer subtype 1
1734,Breast cancer subtype 1
1735,Stromal cells
1736,Breast cancer subtype 1
1737,Breast cancer subtype 1
1738,Breast cancer subtype 1
1739,Breast cancer subtype 1
1740,Breast cancer subtype 1
1741,Stromal cells
1742,Breast cancer subtype 1
1743,Breast cancer subtype 1
1744,Breast cancer subtype 3
1745,Breast cancer subtype 1
1746,Breast cancer subtype 1
1747,Breast cancer subtype 1
1748,Breast cancer subtype 1
1749,Breast cancer subtype 1
1750,Stromal cells
1751,Breast cancer subtype 3
1752,Breast cancer subtype 1
1753,Macrophages
1754,Macrophages
1755,Breast cancer subtype 1
1756,Breast cancer subtype 1
1757,Breast cancer subtype 1
1758,Breast cancer subtype 1
1759,Breast cancer subtype 1
1760,Endothelial cells
1761,Breast cancer subtype 1
1762,Breast cancer subtype 3
1763,Breast cancer subtype 3
1764,Breast cancer subtype 1
1765,Breast cancer subtype 1
1766,Breast cancer subtype 1
1767,Stromal cells
1768,Macrophages
1769,Stromal cells
1770,Stromal cells
1771,Breast cancer subtype 1
1772,Stromal cells
1773,Breast cancer subtype 1
1774,Breast cancer subtype 3
1775,Macrophages
1776,Macrophages
1777,Breast cancer subtype 1
1778,Stromal cells
1780,Breast cancer subtype 3
1781,Stromal cells
1783,Breast cancer subtype 3
1784,Breast cancer subtype 3
1785,Breast cancer subtype 3
1786,Breast cancer subtype 3
1787,Stromal cells
1788,Macrophages
1789,Breast cancer subtype 3
1790,Stromal cells
1791,Breast cancer subtype 3
1792,Breast cancer subtype 3
1793,Breast cancer subtype 3
1794,Stromal cells
1795,T cells
1796,Stromal cells
1797,Breast cancer subtype 3
1798,Endothelial cells
1799,Breast cancer subtype 3
1800,Breast cancer subtype 1
1801,Stromal cells
1802,Breast cancer subtype 1
1804,Breast cancer subtype 1
1805,Stromal cells
1806,Breast cancer subtype 1
1807,Breast cancer subtype 1
1808,Macrophages
1809,Breast cancer subtype 1
1810,Breast cancer subtype 1
1811,Breast cancer subtype 1
1812,Breast cancer subtype 1
1813,Breast cancer subtype 1
1814,Breast cancer subtype 1
1815,Breast cancer subtype 1
1816,Breast cancer subtype 1
1817,Breast cancer subtype 1
1818,B cells
1819,T cells
1820,Macrophages
1821,T cells
1822,Stromal cells
1823,Breast cancer subtype 3
1824,Breast cancer subtype 1
1825,Breast cancer subtype 1
1826,Breast cancer subtype 1
1827,Breast cancer subtype 1
1828,Breast cancer subtype 1
1829,Breast cancer subtype 1
1830,Breast cancer subtype 1
1831,Breast cancer subtype 1
1832,Breast cancer subtype 3
1833,Breast cancer subtype 3
1834,Breast cancer subtype 1
1835,Breast cancer subtype 1
1836,Smooth muscle cells
1837,Endothelial cells
1838,Endothelial cells
1839,Breast cancer subtype 3
1840,Breast cancer subtype 1
1841,Breast cancer subtype 1
1842,Breast cancer subtype 1
1843,Breast cancer subtype 3
1844,Breast cancer subtype 1
1845,Breast cancer subtype 1
1846,Breast cancer subtype 1
1847,Breast cancer subtype 1
1848,Breast cancer subtype 1
1849,Breast cancer subtype 3
1850,Breast cancer subtype 1
1851,Breast cancer subtype 1
1852,Smooth muscle cells
1853,Endothelial cells
1854,T cells
1855,Macrophages
1856,Stromal cells
1857,Endothelial cells
1858,Stromal cells
1859,Stromal cells
1860,Stromal cells
1861,Endothelial cells
1862,Macrophages
1863,Endothelial cells
1864,Breast cancer subtype 1
1865,Endothelial cells
1866,Breast cancer subtype 1
1867,Stromal cells
1868,Breast cancer subtype 1
1869,Breast cancer subtype 3
1870,B cells
1871,Endothelial cells
1872,T cells
1873,T cells
1874,Macrophages
1875,B cells
1876,Stromal cells
1878,T cells
1879,Macrophages
1880,T cells
1881,Stromal cells
1882,T cells
1883,Stromal cells
1884,T cells
1885,Endothelial cells
1886,Breast cancer subtype 3
1887,Breast cancer subtype 1
1888,Breast cancer subtype 1
1889,Breast cancer subtype 3
1890,Breast cancer subtype 1
1891,Breast cancer subtype 1
1892,Breast cancer subtype 1
1893,Breast cancer subtype 1
1894,Breast cancer subtype 1
1895,Breast cancer subtype 1
1896,Macrophages
1897,Stromal cells
1898,Breast cancer subtype 3
1899,Endothelial cells
1900,Endothelial cells
1901,Breast cancer subtype 3
1902,Breast cancer subtype 3
1903,Breast cancer subtype 3
1904,Stromal cells
1905,Stromal cells
1906,Stromal cells
1908,Endothelial cells
1909,Smooth muscle cells
1910,Endothelial cells
1911,Endothelial cells
1912,Smooth muscle cells
1913,Macrophages
1914,Smooth muscle cells
1915,Smooth muscle cells
1916,Smooth muscle cells
1917,Smooth muscle cells
1918,Endothelial cells
1919,Endothelial cells
1920,Endothelial cells
1922,Endothelial cells
1923,Endothelial cells
1924,Endothelial cells
1925,Endothelial cells
1926,Smooth muscle cells
1927,Smooth muscle cells
1928,Smooth muscle cells
1929,Stromal cells
1930,Smooth muscle cells
1931,Stromal cells
1932,Stromal cells
1933,Stromal cells
1934,Stromal cells
1935,Macrophages
1936,Macrophages
1937,Macrophages
1938,Endothelial cells
1939,Endothelial cells
1940,Stromal cells
1941,T cells
1942,Macrophages
1943,Breast cancer subtype 3
1944,Breast cancer subtype 1
1945,Breast cancer subtype 1
1946,Breast cancer subtype 1
1947,Breast cancer subtype 1
1948,Breast cancer subtype 1
1949,Breast cancer subtype 1
1950,Macrophages
1951,Breast cancer subtype 1
1952,Breast cancer subtype 1
1953,Breast cancer subtype 3
1954,Macrophages
1955,T cells
1956,Macrophages
1958,T cells
1959,Breast cancer subtype 1
1960,Stromal cells
1961,Breast cancer subtype 5
1962,Breast cancer subtype 3
1963,Macrophages
1964,B cells
1965,T cells
1966,Stromal cells
1967,Stromal cells
1968,Stromal cells
1969,T cells
1970,T cells
1971,T cells
1972,T cells
1973,Stromal cells
1974,Stromal cells
1975,Macrophages
1976,Macrophages
1977,T cells
1978,B cells
1979,T cells
1981,Breast cancer subtype 1
1982,Breast cancer subtype 3
1984,Breast cancer subtype 1
1985,Breast cancer subtype 3
1986,Breast cancer subtype 1
1987,Stromal cells
1988,Breast cancer subtype 5
1989,Breast cancer subtype 1
1990,Breast cancer subtype 1
1991,T cells
1992,Endothelial cells
1993,Macrophages
1994,Stromal cells
1995,T cells
1998,T cells
2000,Macrophages
2001,Endothelial cells
2002,Breast cancer subtype 3
2003,Breast cancer subtype 1
2004,Breast cancer subtype 1
2005,Breast cancer subtype 1
2006,Breast cancer subtype 1
